fare_id,origin_id,destination_id,Price,currency_type,origin_station,destination_station
377,PLZA,NCON,5,USD,El Cerrito Plaza,North Concord/Martinez
378,PLZA,COLM,5.3,USD,El Cerrito Plaza,Colma
379,PLZA,CONC,4.8,USD,El Cerrito Plaza,Concord
380,PLZA,PHIL,4.35,USD,El Cerrito Plaza,Pleasant Hill
381,PLZA,WCRK,4.15,USD,El Cerrito Plaza,Walnut Creek
382,PLZA,LAFY,3.75,USD,El Cerrito Plaza,Lafayette
383,PLZA,ORIN,3.25,USD,El Cerrito Plaza,Orinda
384,PLZA,ROCK,2.35,USD,El Cerrito Plaza,Rockridge
385,PLZA,WOAK,2.75,USD,El Cerrito Plaza,West Oakland
386,PLZA,EMBR,4.8,USD,El Cerrito Plaza,Embarcadero
387,PLZA,MONT,4.8,USD,El Cerrito Plaza,Montgomery Street
388,PLZA,POWL,4.8,USD,El Cerrito Plaza,Powell Street
389,PLZA,CIVC,4.8,USD,El Cerrito Plaza,Civic Center
390,PLZA,16TH,4.9,USD,El Cerrito Plaza,16th Street Mission
391,PLZA,24TH,4.95,USD,El Cerrito Plaza,24th Street Mission
392,PLZA,GLEN,5.1,USD,El Cerrito Plaza,Glen Park
393,PLZA,BALB,5.2,USD,El Cerrito Plaza,Balboa Park
394,PLZA,DALY,5.3,USD,El Cerrito Plaza,Daly City
395,PLZA,OAKL,10.1,USD,El Cerrito Plaza,Oakland City Center/12th St
396,PLZA,WARM,6,USD,El Cerrito Plaza,Warm Springs/South Fremont
397,PLZA,MLPT,6.8,USD,El Cerrito Plaza,Milpitas
398,PLZA,BERY,7.1,USD,El Cerrito Plaza,Berryessa/North San Jose
399,PLZA,PCTR,5.75,USD,El Cerrito Plaza,Pittsburg Center
400,PLZA,ANTC,6.5,USD,El Cerrito Plaza,Antioch
401,NBRK,SSAN,5.3,USD,North Berkeley,South San Francisco
402,NBRK,SBRN,5.6,USD,North Berkeley,San Bruno
403,NBRK,SFIA,10.75,USD,North Berkeley,San Francisco International Airport
404,NBRK,MLBR,5.95,USD,North Berkeley,Millbrae
405,NBRK,WDUB,5.1,USD,North Berkeley,West Dublin/Pleasanton
406,NBRK,RICH,2.15,USD,North Berkeley,Richmond
407,NBRK,DELN,2.15,USD,North Berkeley,Del Norte
408,NBRK,PLZA,2.15,USD,North Berkeley,El Cerrito Plaza
